的	10835759
我	10791264
，	10779562
你	8915989
了	8654576
不	8254194
是	7924843
哈	5371597
。	5326845
好	5166916
！	5034332
一	4773566
有	4127481
么	3615619
？	3239105
啊	3149944
就	3119547
这	3036121
没	2891255
个	2884521
来	2724738
在	2564084
要	2554995
看	2526669
人	2510920
还	2425889
都	2301406
天	2223463
也	2165691
去	2054586
那	1995244
说	1851137
可	1823826
到	1720871
想	1668410
会	1606824
吃	1598402
上	1593361
以	1588988
…	1553252
得	1524791
吧	1521600
多	1517612
大	1491505
们	1445776
过	1428286
吗	1413001
下	1368252
能	1356629
很	1355326
子	1285163
什	1263815
时	1240838
真	1235229
心	1218589
点	1207258
.	1205471
~	1184529
回	1123488
家	1104020
小	1096838
为	1077556
觉	1039985
他	981032
道	975393
自	969497
爱	950228
对	940216
快	916895
呢	915838
起	902382
谢	897278
生	896747
样	882921
现	879402
开	875958
给	862653
出	862522
太	850472
里	849568
后	838708
怎	837329
年	835781
知	821844
发	817199
着	808811
啦	801336
喜	777796
然	747033
最	719566
欢	719019
别	709659
感	704507
只	702473
呀	702456
睡	701728
嗯	689543
己	678039
事	660568
晚	658806
明	649302
学	644142
哪	630464
～	626678
和	626252
话	609970
意	608637
哦	608184
打	606191
候	591548
次	591218
用	590256
早	590236
又	575054
老	571630
买	567702
美	549619
做	549527
今	546953
手	546333
定	535956
嘛	531509
见	529472
实	525290
情	523016
前	520632
面	519615
长	518537
才	512334
友	505409
安	502633
加	500529
问	494642
女	486660
等	485841
头	481399
再	481360
经	477811
啥	475083
找	472795
机	471459
乐	468842
玩	464860
比	463267
直	460386
气	458552
几	445715
已	442762
行	434777
跟	417611
被	412204
像	411461
走	410589
两	409052
地	408990
把	408942
但	408848
儿	400929
果	400236
无	397257
完	396276
中	393020
动	390422
成	388567
所	386589
高	384746
让	383051
身	381897
带	378852
错	377364
种	373490
钱	371994
该	371153
同	370535
难	370178
油	368990
分	368896
间	367685
放	366749
如	364402
新	361297
她	356585
少	356193
当	355147
男	353785
听	352826
正	350905
电	349916
车	349085
日	347537
三	344860
方	334790
因	331932
哥	330135
月	322857
朋	321577
力	321473
饭	319344
白	318725
眼	318536
应	316767
谁	316329
刚	315115
之	314610
本	313851
其	312528
理	312178
每	311684
水	311658
请	311186
西	308674
重	308328
关	307999
作	302751
而	300715
呵	298952
怕	296064
活	295152
姐	294246
更	293229
喝	291191
东	278575
思	277596
期	276838
些	276010
结	274777
久	273023
服	272803
全	271751
花	271302
假	270764
相	270098
边	264805
记	262257
班	262039
试	260901
算	259766
嘿	259504
路	258959
第	258756
考	258636
求	255541
死	252844
近	250757
照	247633
叫	247162
表	246677
干	244945
认	244119
超	243030
主	242945
笑	241756
工	239158
信	239040
特	235238
常	235235
脸	235201
福	235081
口	234468
十	234267
周	233545
体	231942
懂	231930
题	229631
接	229196
越	229048
胖	228154
穿	227866
狗	226867
住	226515
·	226379
、	225655
!	224455
黑	224420
外	222721
从	222117
挺	221616
望	221130
哇	220971
拍	220788
受	220221
单	219128
换	218916
二	218827
神	218440
业	218325
门	215131
嘻	214058
包	213074
肉	212079
解	211761
宝	211100
法	210918
哎	210642
热	210512
抱	207979
帅	207048
害	206656
亲	205513
变	204867
色	203634
师	203540
合	203202
公	203193
原	201965
送	201575
午	201130
?	199654
办	199148
于	198888
注	198413
必	196610
差	196490
反	195492
海	194551
国	194449
号	194148
节	193320
名	192869
半	192864
瘦	192815
先	192681
告	192561
字	191544
冷	189700
毛	187927
度	187306
咋	187137
衣	186910
夜	184599
总	184317
待	184168
风	183961
张	182556
幸	182487
准	182299
恩	181818
红	181048
片	180203
孩	177486
影	177370
场	177159
文	176638
光	176506
空	176467
火	175581
棒	172821
梦	172639
始	170077
进	168612
聊	168107
昨	168034
妹	167462
约	167041
易	166503
清	166266
备	166216
远	165308
阿	164707
星	164641
马	164526
敢	164395
书	163190
哒	162671
五	161887
够	160852
平	160729
校	160682
四	160082
息	159864
您	159465
帮	158443
祝	157959
养	157727
确	157539
复	156129
希	155899
便	155129
歌	155127
系	155010
收	154459
拿	154450
球	153736
肥	152062
游	151292
跑	150791
北	150610
需	149716
持	149088
物	147787
酒	146887
写	146301
婚	145910
累	145424
洗	144563
慢	144404
何	144075
较	144032
容	144016
亮	143881
苦	143614
级	142960
强	142471
雨	142292
计	142257
失	141964
滴	141723
网	141616
坐	141119
醒	140225
它	140138
诉	139745
肯	138911
伤	138597
皮	138520
句	138375
拉	138001
味	137678
,	137470
位	137237
南	136079
保	136051
休	135671
识	135481
装	135253
哭	134458
提	134153
深	133911
咯	133625
满	133541
掉	132586
猫	131158
妈	130381
调	130069
赞	129970
世	129621
通	128788
飞	128728
量	127908
者	127763
须	127252
留	127160
内	125688
食	125514
卖	125358
运	125036
千	124911
条	124748
底	124661
紧	124360
教	124042
山	123996
恋	123272
票	122507
忘	122472
疼	122247
哟	121791
随	121574
整	121476
非	121326
语	121126
脑	121107
毕	120379
管	119818
木	119674
离	119294
厉	119069
剧	118662
忙	118617
慕	118474
流	118465
烦	118306
遇	118080
万	117995
菜	117800
阳	117536
费	116531
愿	116000
减	115980
且	115960
赶	115261
羡	115247
改	115079
线	115038
唱	114556
演	114422
品	114162
课	113967
件	113911
